Age,Education Level,SACCO Membership,Farming Experience,Marital Status,Annual Income,Loan Amount,Loan-To-Income Ratio,Debt-To-Income Ratio,Repayment History,Savings Contributions,Savings-To-Income Ratio,Loan Purpose,SACCO Contribution Frequency,Timeliness of Contributions,Borrower-Requested Loan Adjustments,Weather Risks,Pest Outbreaks,Inflation Rate,Farm Size,Crop Type,Crop Diversification,Irrigation Access,Annual Yield,Historical Yield Trends,Soil Quality,Livestock Ownership,Use of Technology,Farm Input Usage,Average Selling Price,Contracts with Buyers,Storage Availability
62,None,Yes,23,Widowed,50621,4853717,95.88346734,0.559566016,Good,96482,1.905967879,Machinery Purchase,Quarterly,On-time,Yes,Low,No,4.281305146,60,Livestock- Dairy/Poultry,No,Seasonal,7,Stable,Moderate,Yes,Medium,Chemical,233,Yes,Yes
65,None,No,3,Married,713733,4765195,6.676439229,0.448144438,Fair,150085,0.210281716,Machinery Purchase,Semi-Annually,Delayed,No,Moderate,No,6.787228684,75,HC-Kales/Grapes,No,Seasonal,59,Stable,Good,Yes,Medium,Chemical,160,No,No
18,Higher Education,Yes,46,Married,474286,1873171,3.949454549,0.577080042,Good,30353,0.063997251,Farm Expansion,Monthly,On-time,No,Low,Yes,6.380616348,30,HB-Apples/Mangoes/Oranges/Garlic,No,Seasonal,86,Stable,Moderate,Yes,High,Organic,424,Yes,No
21,Primary,No,26,Married,1301791,1170394,0.899064443,0.950236733,Good,72208,0.055468197,Machinery Purchase,Semi-Annually,On-time,No,Moderate,Yes,4.531056877,29,NHA - DryMaize/Wheat/IrishPotatoes,Yes,No_Irrigation,4,Decreasing,Moderate,Yes,Medium,Organic,370,Yes,Yes
21,Higher Education,No,44,Single,843705,51337,0.060847097,0.903576022,Fair,60580,0.071802348,Harvesting Costs,Monthly,On-time,Yes,Moderate,Yes,3.099076232,25,Livestock- Dairy/Poultry,No,No_Irrigation,76,Stable,Good,Yes,High,Organic,407,Yes,Yes
57,None,Yes,3,Married,835510,479531,0.573938074,0.70940296,Fair,10425,0.012477409,Labor costs,Monthly,On-time,Yes,Moderate,No,6.324124456,4,Others,No,No_Irrigation,12,Increasing,Good,No,High,Mixed,200,No,No
27,Secondary,No,31,Married,1301573,1311955,1.007976502,0.675124646,Fair,161435,0.124030692,Personal Use,Monthly,On-time,No,Moderate,No,5.642144709,83,HC-Kales/Grapes,No,No_Irrigation,30,Decreasing,Good,Yes,Low,Chemical,461,No,No
37,Primary,No,9,Married,930491,3461794,3.720394931,0.593525204,Good,35088,0.037709123,Harvesting Costs,Semi-Annually,On-time,No,Moderate,Yes,3.609457935,22,NHB - DryPeas/Rice,Yes,No_Irrigation,79,Increasing,Good,No,Low,Organic,55,Yes,No
39,Primary,Yes,10,Widowed,424290,707284,1.666982488,0.345414806,Good,113699,0.267974734,Machinery Purchase,Annually,On-time,No,High,Yes,6.984285084,7,NHA - DryMaize/Wheat/IrishPotatoes,Yes,No_Irrigation,84,Increasing,Good,Yes,High,Chemical,415,No,No
68,Primary,Yes,27,Single,300183,2334561,7.777125953,0.233441778,Good,101842,0.339266381,Machinery Purchase,Quarterly,Delayed,Yes,Moderate,Yes,3.40093375,85,HA - Tomatoes/Dry_Onions/Cabbages/Watermelon,Yes,No_Irrigation,27,Stable,Good,No,Low,Mixed,85,No,No
54,Higher Education,Yes,45,Widowed,996332,4941071,4.959261571,0.870672679,Good,10694,0.01073337,Debt_consolidation,Quarterly,On-time,Yes,Moderate,Yes,6.468458166,22,Livestock- Dairy/Poultry,No,No_Irrigation,81,Decreasing,Good,No,Low,Organic,415,No,No
41,None,Yes,7,Married,1962577,4555950,2.321412103,0.671551119,Good,172614,0.087952727,Harvesting Costs,Annually,On-time,No,Low,No,4.177064657,28,NHA - DryMaize/Wheat/IrishPotatoes,Yes,Seasonal,36,Stable,Moderate,No,Medium,Chemical,341,Yes,Yes
24,None,Yes,39,Divorced,1752505,4711912,2.6886725,0.369679145,Poor,123094,0.070238887,Machinery Purchase,Semi-Annually,On-time,Yes,High,No,4.741413865,27,Livestock- Dairy/Poultry,No,No_Irrigation,53,Increasing,Moderate,No,Medium,Mixed,174,No,Yes
42,None,Yes,21,Single,664146,1774035,2.671152126,0.514197736,Good,45709,0.068823722,Harvesting Costs,Semi-Annually,On-time,Yes,High,No,6.181826107,90,NHB - DryPeas/Rice,No,Seasonal,18,Stable,Moderate,No,Low,Organic,154,Yes,No
42,Primary,Yes,33,Married,1049474,930965,0.887077717,0.122074658,Good,54630,0.052054648,Labor costs,Annually,On-time,No,Low,No,5.710033424,65,Livestock- Dairy/Poultry,Yes,Seasonal,81,Stable,Poor,No,High,Chemical,245,No,No
30,Primary,Yes,44,Divorced,414316,3757044,9.06806399,0.602258591,Fair,109760,0.264918565,Machinery Purchase,Monthly,On-time,Yes,Moderate,Yes,6.751457498,4,Livestock- Dairy/Poultry,Yes,Seasonal,11,Stable,Good,No,High,Organic,206,No,Yes
19,Secondary,Yes,34,Single,182366,2254849,12.36441552,0.425036365,Poor,98552,0.540407751,Farm Inputs,Semi-Annually,On-time,No,High,No,5.484561302,54,HC-Kales/Grapes,No,Seasonal,61,Stable,Poor,Yes,Low,Chemical,141,Yes,Yes
56,Primary,Yes,34,Divorced,1018357,4845032,4.757694993,0.552438587,Fair,139083,0.136575877,Farm Expansion,Monthly,On-time,Yes,Moderate,No,3.391240646,38,NHA - DryMaize/Wheat/IrishPotatoes,No,No_Irrigation,74,Stable,Good,Yes,Low,Chemical,301,No,Yes
57,None,No,24,Single,953323,3917297,4.109097336,0.238264784,Good,57487,0.060301703,Harvesting Costs,Semi-Annually,Delayed,No,Low,Yes,6.537441453,8,NHA - DryMaize/Wheat/IrishPotatoes,No,Seasonal,26,Stable,Good,No,High,Mixed,187,Yes,Yes
41,None,Yes,33,Married,1329012,1002210,0.754101543,0.482956874,Good,41605,0.03130521,Farm Expansion,Annually,Delayed,No,High,No,6.0766221,81,Livestock- Dairy/Poultry,No,No_Irrigation,27,Decreasing,Good,Yes,Medium,Mixed,349,Yes,Yes
64,Primary,Yes,5,Widowed,348141,2848030,8.180679667,0.915554657,Good,189924,0.545537584,Debt_consolidation,Quarterly,On-time,No,Moderate,Yes,5.847481804,76,Others,Yes,No_Irrigation,52,Stable,Moderate,No,Medium,Mixed,181,Yes,Yes
42,Secondary,Yes,40,Divorced,924610,2565697,2.774896443,0.107660431,Fair,20521,0.022194222,Harvesting Costs,Quarterly,On-time,Yes,High,No,3.214934189,12,HA - Tomatoes/Dry_Onions/Cabbages/Watermelon,Yes,Seasonal,80,Decreasing,Poor,Yes,High,Mixed,157,No,No
35,Primary,No,36,Divorced,967948,1928655,1.992519226,0.97197769,Good,148223,0.15313116,Debt_consolidation,Quarterly,Delayed,No,High,No,4.584890979,3,NHA - DryMaize/Wheat/IrishPotatoes,No,Seasonal,28,Stable,Moderate,No,Low,Mixed,445,No,Yes
55,Primary,Yes,0,Married,886718,3905517,4.404463426,0.721804353,Good,127152,0.143396209,Farm Expansion,Semi-Annually,On-time,No,Moderate,Yes,3.669743278,55,HB-Apples/Mangoes/Oranges/Garlic,Yes,No_Irrigation,5,Decreasing,Poor,Yes,Medium,Chemical,485,No,No
43,Higher Education,Yes,11,Single,493933,4338012,8.782591971,0.189474755,Poor,166248,0.336580062,Personal Use,Annually,On-time,No,Moderate,No,6.287615634,6,Others,Yes,Seasonal,86,Increasing,Moderate,No,High,Mixed,156,Yes,Yes
31,Primary,Yes,34,Widowed,1656194,2994630,1.808139626,0.360798288,Fair,100415,0.060629975,Personal Use,Monthly,On-time,No,High,No,5.802114491,18,Others,Yes,No_Irrigation,54,Decreasing,Poor,Yes,Low,Chemical,284,No,Yes
26,None,Yes,5,Married,685489,1403518,2.047469762,0.585166192,Fair,103181,0.150521744,Debt_consolidation,Quarterly,Delayed,Yes,Low,Yes,6.532310389,79,NHA - DryMaize/Wheat/IrishPotatoes,Yes,No_Irrigation,24,Decreasing,Good,No,Low,Chemical,182,No,Yes
27,None,Yes,16,Married,1751580,2076358,1.185420021,0.751733064,Good,153943,0.087888078,Personal Use,Monthly,On-time,Yes,High,Yes,6.866300428,6,HC-Kales/Grapes,No,No_Irrigation,23,Increasing,Poor,Yes,Medium,Organic,207,Yes,No
38,None,Yes,8,Widowed,226800,3105394,13.6922134,0.449980687,Poor,93607,0.412729277,Machinery Purchase,Quarterly,On-time,No,Low,No,6.098990457,79,Others,Yes,Seasonal,93,Stable,Moderate,No,Low,Chemical,366,Yes,No
69,Higher Education,No,1,Single,445945,1082307,2.426996603,0.304375574,Fair,28034,0.062864255,Debt_consolidation,Monthly,On-time,No,High,No,6.976932333,82,HB-Apples/Mangoes/Oranges/Garlic,Yes,No_Irrigation,44,Stable,Good,No,High,Chemical,478,Yes,No
34,Higher Education,No,17,Divorced,1493600,2349479,1.573030932,0.509373892,Good,54977,0.036808382,Harvesting Costs,Semi-Annually,On-time,No,Moderate,No,5.459079545,31,HA - Tomatoes/Dry_Onions/Cabbages/Watermelon,No,Seasonal,7,Decreasing,Good,Yes,High,Mixed,52,No,No
69,Primary,No,48,Divorced,621784,3747276,6.026652342,0.974874257,Good,114798,0.184626816,Harvesting Costs,Semi-Annually,On-time,Yes,Low,No,3.148518416,99,HC-Kales/Grapes,No,Seasonal,14,Stable,Good,Yes,High,Chemical,119,No,Yes
23,Secondary,No,35,Widowed,1678083,1193193,0.711045282,0.850436411,Good,179392,0.106902936,Harvesting Costs,Monthly,On-time,Yes,Low,No,3.057006061,4,HA - Tomatoes/Dry_Onions/Cabbages/Watermelon,No,Seasonal,78,Stable,Good,Yes,High,Mixed,97,No,Yes
33,Primary,Yes,27,Divorced,143245,4141054,28.90889036,0.923311594,Poor,51679,0.3607735,Machinery Purchase,Semi-Annually,Delayed,No,High,Yes,4.368415501,1,Others,No,Seasonal,18,Increasing,Good,Yes,Low,Chemical,254,Yes,Yes
65,Higher Education,Yes,40,Widowed,1133466,60738,0.05358608,0.70055636,Fair,60855,0.053689303,Farm Inputs,Monthly,Delayed,No,High,No,6.293886876,94,Others,Yes,No_Irrigation,41,Stable,Good,No,High,Chemical,195,Yes,No
18,Primary,Yes,36,Widowed,752000,697019,0.926886968,0.496599484,Fair,92237,0.122655585,Machinery Purchase,Semi-Annually,On-time,No,Low,Yes,6.464538825,45,Others,Yes,No_Irrigation,95,Stable,Good,Yes,Medium,Mixed,129,Yes,No
36,Higher Education,No,48,Widowed,934378,849342,0.908991864,0.716582792,Good,84241,0.090157303,Farm Expansion,Semi-Annually,On-time,No,Moderate,Yes,6.843250115,45,NHA - DryMaize/Wheat/IrishPotatoes,No,Seasonal,69,Decreasing,Poor,No,Low,Organic,234,No,Yes
53,None,Yes,25,Divorced,486315,3234192,6.650405601,0.683738478,Good,191353,0.393475422,Farm Expansion,Monthly,On-time,Yes,Low,No,3.260485874,62,NHA - DryMaize/Wheat/IrishPotatoes,Yes,No_Irrigation,19,Stable,Good,Yes,Low,Chemical,91,Yes,Yes
42,None,Yes,3,Married,756168,1888412,2.497344505,0.126190013,Good,132024,0.174596121,Farm Expansion,Quarterly,On-time,No,Low,Yes,3.178284444,1,NHA - DryMaize/Wheat/IrishPotatoes,Yes,Seasonal,3,Stable,Good,No,Low,Chemical,458,Yes,Yes
67,Higher Education,Yes,39,Divorced,623496,2682265,4.301976276,0.927578292,Fair,37720,0.060497581,Farm Inputs,Quarterly,On-time,Yes,Moderate,No,6.653134385,18,NHB - DryPeas/Rice,No,No_Irrigation,28,Decreasing,Good,Yes,High,Mixed,263,Yes,No
69,Primary,Yes,35,Divorced,1644625,167508,0.10185179,0.588211302,Fair,102419,0.062274987,Farm Expansion,Annually,On-time,No,Moderate,Yes,4.220186793,30,NHB - DryPeas/Rice,No,No_Irrigation,9,Decreasing,Poor,Yes,Low,Mixed,154,Yes,No
47,Secondary,No,30,Widowed,618704,363095,0.586863831,0.992027486,Good,53677,0.086757157,Machinery Purchase,Annually,On-time,Yes,High,Yes,5.231949602,92,NHB - DryPeas/Rice,No,No_Irrigation,80,Decreasing,Moderate,Yes,High,Organic,53,Yes,Yes
