Age,Education Level,SACCO Membership,Farming Experience,Marital Status,Annual Income,Loan Amount,Loan-To-Income Ratio,Debt-To-Income Ratio,Repayment History,Savings Contributions,Savings-To-Income Ratio,Loan Purpose,SACCO Contribution Frequency,Timeliness of Contributions,Borrower-Requested Loan Adjustments,Weather Risks,Pest Outbreaks,Inflation Rate,Farm Size,Crop Type,Crop Diversification,Irrigation Access,Annual Yield,Historical Yield Trends,Soil Quality,Livestock Ownership,Use of Technology,Farm Input Usage,Average Selling Price,Contracts with Buyers,Storage Availability
62,None,Yes,23,Widowed,50621,4853717,95.88346733569072,0.5595660162425621,Good,96482,1.9059678789435215,Machinery Purchase,Quarterly,On-time,Yes,Low,No,4.2813051460433265,60,Livestock- Dairy/Poultry,No,Seasonal,7,Stable,Moderate,Yes,Medium,Chemical,233,Yes,Yes
65,None,No,3,Married,713733,4765195,6.676439228675149,0.44814443821059935,Fair,150085,0.21028171599183448,Machinery Purchase,Semi-Annually,Delayed,No,Moderate,No,6.787228683778089,75,HC-Kales/Grapes,No,Seasonal,59,Stable,Good,Yes,Medium,Chemical,160,No,No
18,Higher Education,Yes,46,Married,474286,1873171,3.949454548521356,0.5770800423633007,Good,30353,0.0639972506040659,Farm Expansion,Monthly,On-time,No,Low,Yes,6.3806163479828815,30,HB-Apples/Mangoes/Oranges/Garlic,No,Seasonal,86,Stable,Moderate,Yes,High,Organic,424,Yes,No
21,Primary,No,26,Married,1301791,1170394,0.899064442756172,0.9502367328068282,Good,72208,0.05546819727590681,Machinery Purchase,Semi-Annually,On-time,No,Moderate,Yes,4.5310568769710855,29,NHA - DryMaize/Wheat/IrishPotatoes,Yes,No_Irrigation,4,Decreasing,Moderate,Yes,Medium,Organic,370,Yes,Yes
21,Higher Education,No,44,Single,843705,51337,0.06084709703036014,0.9035760222705551,Fair,60580,0.0718023479770773,Harvesting Costs,Monthly,On-time,Yes,Moderate,Yes,3.0990762321569947,25,Livestock- Dairy/Poultry,No,No_Irrigation,76,Stable,Good,Yes,High,Organic,407,Yes,Yes
57,None,Yes,3,Married,835510,479531,0.5739380737513614,0.7094029598498963,Fair,10425,0.01247740900767196,Labor costs,Monthly,On-time,Yes,Moderate,No,6.324124455981513,4,Others,No,No_Irrigation,12,Increasing,Good,No,High,Mixed,200,No,No
27,Secondary,No,31,Married,1301573,1311955,1.007976502278397,0.6751246460424232,Fair,161435,0.1240306920933363,Personal Use,Monthly,On-time,No,Moderate,No,5.642144708578161,83,HC-Kales/Grapes,No,No_Irrigation,30,Decreasing,Good,Yes,Low,Chemical,461,No,No
37,Primary,No,9,Married,930491,3461794,3.7203949312782174,0.5935252039977259,Good,35088,0.037709123462773955,Harvesting Costs,Semi-Annually,On-time,No,Moderate,Yes,3.609457934605239,22,NHB - DryPeas/Rice,Yes,No_Irrigation,79,Increasing,Good,No,Low,Organic,55,Yes,No
39,Primary,Yes,10,Widowed,424290,707284,1.6669824883923732,0.34541480607770564,Good,113699,0.26797473426194346,Machinery Purchase,Annually,On-time,No,High,Yes,6.984285084040749,7,NHA - DryMaize/Wheat/IrishPotatoes,Yes,No_Irrigation,84,Increasing,Good,Yes,High,Chemical,415,No,No
68,Primary,Yes,27,Single,300183,2334561,7.777125953168567,0.23344177793286502,Good,101842,0.3392663808410203,Machinery Purchase,Quarterly,Delayed,Yes,Moderate,Yes,3.400933749696492,85,HA - Tomatoes/Dry_Onions/Cabbages/Watermelon,Yes,No_Irrigation,27,Stable,Good,No,Low,Mixed,85,No,No
54,Higher Education,Yes,45,Widowed,996332,4941071,4.959261571444057,0.8706726791501919,Good,10694,0.01073337000116427,Debt_consolidation,Quarterly,On-time,Yes,Moderate,Yes,6.468458166374651,22,Livestock- Dairy/Poultry,No,No_Irrigation,81,Decreasing,Good,No,Low,Organic,415,No,No
41,None,Yes,7,Married,1962577,4555950,2.3214121025569954,0.6715511190839345,Good,172614,0.08795272745986527,Harvesting Costs,Annually,On-time,No,Low,No,4.1770646565187555,28,NHA - DryMaize/Wheat/IrishPotatoes,Yes,Seasonal,36,Stable,Moderate,No,Medium,Chemical,341,Yes,Yes
24,None,Yes,39,Divorced,1752505,4711912,2.688672500221112,0.369679144822774,Poor,123094,0.0702388866222921,Machinery Purchase,Semi-Annually,On-time,Yes,High,No,4.741413865300628,27,Livestock- Dairy/Poultry,No,No_Irrigation,53,Increasing,Moderate,No,Medium,Mixed,174,No,Yes
42,None,Yes,21,Single,664146,1774035,2.671152126189121,0.5141977357522485,Good,45709,0.06882372249475266,Harvesting Costs,Semi-Annually,On-time,Yes,High,No,6.181826107105259,90,NHB - DryPeas/Rice,No,Seasonal,18,Stable,Moderate,No,Low,Organic,154,Yes,No
42,Primary,Yes,33,Married,1049474,930965,0.8870777170277682,0.12207465751084301,Good,54630,0.052054648328591274,Labor costs,Annually,On-time,No,Low,No,5.710033423976041,65,Livestock- Dairy/Poultry,Yes,Seasonal,81,Stable,Poor,No,High,Chemical,245,No,No
30,Primary,Yes,44,Divorced,414316,3757044,9.068063989804884,0.6022585908316098,Fair,109760,0.2649185645739001,Machinery Purchase,Monthly,On-time,Yes,Moderate,Yes,6.751457497776157,4,Livestock- Dairy/Poultry,Yes,Seasonal,11,Stable,Good,No,High,Organic,206,No,Yes
19,Secondary,Yes,34,Single,182366,2254849,12.36441551605014,0.4250363653938851,Poor,98552,0.5404077514448965,Farm Inputs,Semi-Annually,On-time,No,High,No,5.4845613018415325,54,HC-Kales/Grapes,No,Seasonal,61,Stable,Poor,Yes,Low,Chemical,141,Yes,Yes
56,Primary,Yes,34,Divorced,1018357,4845032,4.7576949930132555,0.5524385866921253,Fair,139083,0.13657587663265436,Farm Expansion,Monthly,On-time,Yes,Moderate,No,3.391240645916211,38,NHA - DryMaize/Wheat/IrishPotatoes,No,No_Irrigation,74,Stable,Good,Yes,Low,Chemical,301,No,Yes
57,None,No,24,Single,953323,3917297,4.10909733636973,0.23826478363485543,Good,57487,0.06030170257090199,Harvesting Costs,Semi-Annually,Delayed,No,Low,Yes,6.537441452967801,8,NHA - DryMaize/Wheat/IrishPotatoes,No,Seasonal,26,Stable,Good,No,High,Mixed,187,Yes,Yes
41,None,Yes,33,Married,1329012,1002210,0.7541015431011909,0.4829568736877283,Good,41605,0.03130521018621352,Farm Expansion,Annually,Delayed,No,High,No,6.076622099954364,81,Livestock- Dairy/Poultry,No,No_Irrigation,27,Decreasing,Good,Yes,Medium,Mixed,349,Yes,Yes
64,Primary,Yes,5,Widowed,348141,2848030,8.180679667146357,0.9155546565354462,Good,189924,0.5455375839099675,Debt_consolidation,Quarterly,On-time,No,Moderate,Yes,5.847481803573288,76,Others,Yes,No_Irrigation,52,Stable,Moderate,No,Medium,Mixed,181,Yes,Yes
