Farmer_ID,Crop_Management,Avg_Income,Yield_Efficiency,Record_Keeping,Farm_Size,Active_Land,Crop_Type_Score,Irrigation_Score,Farm_Inputs,Weather_Risk,Active_Land_Ratio
1,88,2371864,1636,57,1,1,80,47,76,33,1.0
2,78,1514384,941,41,9,5,65,78,58,15,0.5555555555555556
3,64,2043643,1063,93,11,11,78,40,75,75,1.0
4,92,2240919,1791,74,16,3,65,55,96,13,0.1875
5,57,2755815,1909,55,7,1,65,92,71,15,0.14285714285714285
6,70,1762126,1910,80,10,1,80,88,96,60,0.1
7,88,146330,1636,75,3,3,78,56,79,71,1.0
8,68,2587906,1451,72,18,10,78,78,92,66,0.5555555555555556
9,72,1747095,1604,43,13,11,78,62,97,75,0.8461538461538461
10,60,2121138,1198,72,7,7,75,30,66,17,1.0
11,60,596146,612,53,4,4,80,50,75,35,1.0
12,73,2119818,501,60,13,12,78,84,85,60,0.9230769230769231
13,85,2241785,1141,87,1,1,75,35,50,54,1.0
14,89,298998,719,59,8,2,70,98,57,53,0.25
15,73,2958089,1354,95,14,14,70,34,98,14,1.0
16,52,2735928,1748,47,16,16,75,32,84,79,1.0
17,71,1853400,884,46,14,3,75,82,64,35,0.21428571428571427
18,51,1089111,1926,42,12,12,80,52,96,77,1.0
19,73,1006107,1653,56,19,8,80,82,71,28,0.42105263157894735
20,93,2945840,1576,72,15,10,70,66,63,29,0.6666666666666666
21,79,361279,1229,87,2,2,78,46,75,21,1.0
22,87,1880230,1939,51,2,2,70,30,77,56,1.0
23,51,499570,746,98,19,9,78,80,72,10,0.47368421052631576
24,70,2060731,1335,90,17,7,78,74,63,23,0.4117647058823529
25,82,1331685,1962,61,10,4,80,33,73,73,0.4
26,61,2131690,702,94,6,6,65,91,51,47,1.0
27,71,2308816,1707,61,15,13,65,94,94,46,0.8666666666666667
28,93,501234,622,85,11,11,75,61,75,20,1.0
29,74,1958260,900,69,5,4,80,63,63,12,0.8
30,98,149182,1266,77,1,1,78,68,56,42,1.0
31,76,1531101,793,77,8,8,65,55,52,15,1.0
32,91,1216914,779,84,12,5,78,63,96,59,0.4166666666666667
33,77,194064,1383,90,12,9,65,83,72,19,0.75
34,65,224020,697,93,5,3,65,32,95,14,0.6
35,64,2730246,1481,47,7,7,65,79,92,32,1.0
36,96,1982990,1251,66,4,3,80,41,96,19,0.75
37,93,907421,643,66,6,6,70,94,94,53,1.0
38,52,2722422,1108,73,13,4,78,83,67,11,0.3076923076923077
39,86,1704490,1724,60,15,15,80,34,87,22,1.0
40,56,1177752,1647,69,3,3,80,86,84,49,1.0
41,70,2326121,686,72,8,7,80,46,64,11,0.875
42,58,132409,1849,67,16,5,80,76,74,74,0.3125
43,88,2026716,963,86,13,12,80,52,86,72,0.9230769230769231
44,67,2360770,1872,72,18,17,75,43,77,26,0.9444444444444444
45,53,779598,1159,44,10,10,78,95,59,18,1.0
46,74,1108591,1263,99,19,3,80,80,88,24,0.15789473684210525
47,63,2879990,1454,87,17,9,78,67,66,33,0.5294117647058824
48,99,884371,902,58,19,17,75,93,88,47,0.8947368421052632
49,58,1469933,1869,43,5,5,75,67,71,44,1.0
50,75,2842868,646,74,9,9,78,79,75,58,1.0
51,51,1164454,1671,88,12,12,65,59,93,78,1.0
52,69,983548,1363,56,1,1,70,80,74,71,1.0
53,77,2880442,988,83,1,1,65,92,66,69,1.0
54,96,1223475,1428,67,15,4,65,81,62,59,0.26666666666666666
55,56,2031900,1050,69,2,2,65,67,69,18,1.0
56,93,1009238,837,68,16,9,80,59,74,43,0.5625
57,57,2969034,1371,85,8,8,75,80,53,44,1.0
58,96,1938434,1140,92,13,12,65,34,59,10,0.9230769230769231
59,84,389989,972,45,1,1,75,58,52,49,1.0
60,63,2522667,650,74,16,7,78,33,90,73,0.4375
61,66,53585,1938,99,7,7,70,39,94,31,1.0
62,85,1429945,1821,80,5,5,78,85,67,69,1.0
63,99,2171196,762,76,3,3,78,46,96,73,1.0
64,89,2549448,643,63,12,12,80,46,85,20,1.0
65,53,119556,845,68,16,5,70,98,96,23,0.3125
66,51,1585557,1123,88,19,3,78,63,71,69,0.15789473684210525
67,55,2071083,1516,85,5,5,78,35,83,39,1.0
68,91,2874747,1380,92,14,4,70,82,96,44,0.2857142857142857
69,53,210235,501,70,5,5,70,95,57,46,1.0
70,78,2133091,1396,74,15,7,78,72,89,14,0.4666666666666667
71,67,2019021,1827,99,17,13,70,52,98,35,0.7647058823529411
72,75,1211482,753,72,14,10,78,84,93,71,0.7142857142857143
73,93,552335,952,91,5,5,78,45,68,13,1.0
74,83,85766,1560,60,12,12,80,37,91,51,1.0
75,59,2516075,1683,71,16,5,65,33,90,27,0.3125
76,85,2675702,1514,62,16,3,78,33,86,49,0.1875
77,63,2494413,508,72,7,7,75,85,55,48,1.0
78,80,2917360,1756,42,4,4,65,54,75,23,1.0
79,97,2792592,1622,57,1,1,65,96,83,41,1.0
80,64,1711240,1315,64,5,5,65,96,94,60,1.0
81,57,994346,707,81,10,10,80,56,55,47,1.0
82,63,1513165,1654,70,5,5,78,61,86,32,1.0
83,72,2245000,903,93,4,4,80,79,82,72,1.0
84,89,2724227,651,97,2,2,78,90,71,24,1.0
85,70,137948,553,42,10,10,80,80,70,34,1.0
86,65,1637880,1643,79,19,6,80,48,55,26,0.3157894736842105
87,94,412690,1127,85,1,1,75,50,55,75,1.0
88,67,509046,1086,63,5,5,80,34,97,62,1.0
89,96,2558421,1943,89,13,13,70,71,53,60,1.0
90,73,31959,1945,71,4,4,75,90,79,48,1.0
91,75,1808792,603,86,16,10,80,51,60,60,0.625
92,74,1964109,753,61,16,9,65,50,79,79,0.5625
93,94,1848756,1750,62,2,2,70,99,80,15,1.0
94,90,238576,1635,41,17,2,70,30,73,76,0.11764705882352941
95,78,2272990,1009,66,12,5,70,34,58,16,0.4166666666666667
96,64,1394250,1996,81,18,5,75,41,52,60,0.2777777777777778
97,94,71087,598,41,3,3,80,75,80,51,1.0
98,50,1023343,652,65,1,1,80,63,89,73,1.0
99,74,2092263,1413,56,1,1,65,78,86,24,1.0
100,56,2225603,1377,79,19,16,65,74,85,38,0.8421052631578947
